Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec,SourceFile
0.7851851851851852,0.7858009154632672,0.7851851851851852,0.785062905090419,mi,SVM,Randomized,4.22909426689148,randomized_search_results.csv
0.817283950617284,0.8188226267061313,0.817283950617284,0.8175521920734646,mi,Logistic Regression,Grid,0.102393627166748,grid_search_results.csv
0.7728395061728395,0.7745271094108304,0.7728395061728395,0.7722462573315286,mi,Gradient Boosting,Grid,13.7258882522583,grid_search_results.csv
0.7160493827160493,0.722955934843426,0.7160493827160493,0.7079657764210064,mi,KNN,Grid,0.0991172790527343,grid_search_results.csv
0.782716049382716,0.7853239771702993,0.782716049382716,0.7831104052001333,mi,Random Forest,Grid,1.9611153602600095,grid_search_results.csv
0.6888888888888889,0.6895450853484189,0.6888888888888889,0.6852311288746817,mi,Decision Tree,Grid,0.0513358116149902,grid_search_results.csv
0.8148148148148148,0.8161741715825815,0.8148148148148148,0.8149774054747918,mi,SVM,Grid,0.8047964572906494,grid_search_results.csv
0.817283950617284,0.8188226267061313,0.817283950617284,0.8175521920734646,mi,Logistic Regression,Bayes,18.4043083190918,bayes_search_results.csv
0.7753086419753087,0.7789883891439829,0.7753086419753087,0.7742500349046428,mi,Gradient Boosting,Bayes,112.37293982505798,bayes_search_results.csv
0.7308641975308642,0.7457588706223044,0.7308641975308642,0.7214390384240935,mi,KNN,Bayes,11.430060386657717,bayes_search_results.csv
0.7950617283950617,0.7975552775885314,0.7950617283950617,0.7952931627776432,mi,Random Forest,Bayes,28.84919834136963,bayes_search_results.csv
0.6617283950617284,0.6597828894607538,0.6617283950617284,0.6593474779189064,mi,Decision Tree,Bayes,12.089290857315063,bayes_search_results.csv
0.8098765432098766,0.8117448722030906,0.8098765432098766,0.8101731813064478,mi,SVM,Bayes,21.06734681129456,bayes_search_results.csv
0.8469135802469135,0.8496186157431163,0.8469135802469135,0.8474364893080755,mir,Logistic Regression,Randomized,2.343251943588257,randomized_search_results.csv
0.7950617283950617,0.7964616237802608,0.7950617283950617,0.795379308632873,mir,Gradient Boosting,Randomized,47.48799729347229,randomized_search_results.csv
0.7382716049382716,0.7526430927020026,0.7382716049382716,0.7322180637164775,mir,KNN,Randomized,0.2219960689544677,randomized_search_results.csv
0.8123456790123457,0.8134821075392555,0.8123456790123457,0.8118646541107033,mir,Random Forest,Randomized,11.609763860702516,randomized_search_results.csv
0.7160493827160493,0.7251001220367868,0.7160493827160493,0.7191262397991985,mir,Decision Tree,Randomized,0.1194627285003662,randomized_search_results.csv
0.8049382716049382,0.8061858814220147,0.8049382716049382,0.8049804111157927,mir,SVM,Randomized,3.599421739578247,randomized_search_results.csv
0.8419753086419753,0.8442444497543733,0.8419753086419753,0.842294202534971,mir,Logistic Regression,Grid,0.1111245155334472,grid_search_results.csv
0.7654320987654321,0.7654989941342143,0.7654320987654321,0.765051341810689,mir,Gradient Boosting,Grid,14.010866403579712,grid_search_results.csv
0.7283950617283951,0.740028764401101,0.7283950617283951,0.723436558095614,mir,KNN,Grid,0.3580560684204101,grid_search_results.csv
0.782716049382716,0.7828327313820019,0.782716049382716,0.7823083928094822,mir,Random Forest,Grid,2.0103063583374023,grid_search_results.csv
0.691358024691358,0.7076408874098891,0.691358024691358,0.6939523536648411,mir,Decision Tree,Grid,0.0544209480285644,grid_search_results.csv
0.8197530864197531,0.8224548240643956,0.8197530864197531,0.8198367677898121,mir,SVM,Grid,0.7029614448547363,grid_search_results.csv
0.8419753086419753,0.8442444497543733,0.8419753086419753,0.842294202534971,mir,Logistic Regression,Bayes,13.45274019241333,bayes_search_results.csv
0.7975308641975308,0.8007359927807046,0.7975308641975308,0.7975101752252831,mir,Gradient Boosting,Bayes,127.96544432640076,bayes_search_results.csv
0.6987654320987654,0.7037545946257089,0.6987654320987654,0.6962046864086092,mir,KNN,Bayes,11.53646183013916,bayes_search_results.csv
0.7728395061728395,0.7732236525373745,0.7728395061728395,0.772618578516812,mir,Random Forest,Bayes,37.725547075271606,bayes_search_results.csv
0.7160493827160493,0.7187171161468239,0.7160493827160493,0.7161882322201857,mir,Decision Tree,Bayes,13.596840143203735,bayes_search_results.csv
0.817283950617284,0.8201267218087817,0.817283950617284,0.8173172275986869,mir,SVM,Bayes,18.050861120224,bayes_search_results.csv
0.8049382716049382,0.8062732694483871,0.8049382716049382,0.8047177580609789,mu,Logistic Regression,Randomized,2.649761438369751,randomized_search_results.csv
0.7925925925925926,0.794040041290558,0.7925925925925926,0.7915280057416761,mu,Gradient Boosting,Randomized,47.224589824676514,randomized_search_results.csv
0.6814814814814815,0.6956838605596777,0.6814814814814815,0.6745561369163335,mu,KNN,Randomized,0.1962714195251464,randomized_search_results.csv
0.7851851851851852,0.7919901394757576,0.7851851851851852,0.7870275054004151,mu,Random Forest,Randomized,11.115421772003174,randomized_search_results.csv
0.7037037037037037,0.7134298706254367,0.7037037037037037,0.7046626921490967,mu,Decision Tree,Randomized,0.1044309139251709,randomized_search_results.csv
0.7753086419753087,0.7775679860416249,0.7753086419753087,0.7757062991649702,mu,SVM,Randomized,4.523420095443726,randomized_search_results.csv
0.8049382716049382,0.8061685900982564,0.8049382716049382,0.804893649820939,mu,Logistic Regression,Grid,0.1024117469787597,grid_search_results.csv
0.782716049382716,0.7826435455229075,0.782716049382716,0.7821413992834425,mu,Gradient Boosting,Grid,14.260132551193236,grid_search_results.csv
0.6864197530864198,0.6929887544837222,0.6864197530864198,0.6831447344864474,mu,KNN,Grid,0.1116607189178466,grid_search_results.csv
0.7851851851851852,0.7919228572520625,0.7851851851851852,0.7868500223473203,mu,Random Forest,Grid,2.0438060760498047,grid_search_results.csv
0.6666666666666666,0.6751893472773309,0.6666666666666666,0.6647032204155937,mu,Decision Tree,Grid,0.0492818355560302,grid_search_results.csv
0.7876543209876543,0.7901874509673049,0.7876543209876543,0.7873587743563326,mu,SVM,Grid,0.938624620437622,grid_search_results.csv
0.8049382716049382,0.8062732694483871,0.8049382716049382,0.8047177580609789,mu,Logistic Regression,Bayes,14.868624448776243,bayes_search_results.csv
0.7925925925925926,0.7917382570084598,0.7925925925925926,0.7898195904669767,mu,Gradient Boosting,Bayes,104.6244261264801,bayes_search_results.csv
0.691358024691358,0.7036897699596112,0.691358024691358,0.6854936537834875,mu,KNN,Bayes,12.425221681594849,bayes_search_results.csv
0.7802469135802469,0.7871932042793288,0.7802469135802469,0.7818422854866688,mu,Random Forest,Bayes,34.75624966621399,bayes_search_results.csv
0.7283950617283951,0.7311992468966814,0.7283950617283951,0.7268575431639887,mu,Decision Tree,Bayes,12.323483943939207,bayes_search_results.csv
0.7901234567901234,0.7922762577850639,0.7901234567901234,0.7898629581914005,mu,SVM,Bayes,23.08349919319153,bayes_search_results.csv
0.8320987654320988,0.8356545007530123,0.8320987654320988,0.8324635326963289,vt,Logistic Regression,Randomized,1.9905998706817627,randomized_search_results.csv
0.7975308641975308,0.7994793017032338,0.7975308641975308,0.7977543650318901,vt,Gradient Boosting,Randomized,45.16837024688721,randomized_search_results.csv
0.745679012345679,0.7642718758256991,0.745679012345679,0.7376564825687631,vt,KNN,Randomized,0.2000212669372558,randomized_search_results.csv
0.7925925925925926,0.8007686269175078,0.7925925925925926,0.7932879632066187,vt,Random Forest,Randomized,11.563263416290283,randomized_search_results.csv
0.7086419753086419,0.7136379736006846,0.7086419753086419,0.7087196276930552,vt,Decision Tree,Randomized,0.1248142719268798,randomized_search_results.csv
0.8024691358024691,0.8049224168659577,0.8024691358024691,0.8021895613165065,vt,SVM,Randomized,3.7554776668548575,randomized_search_results.csv
0.8271604938271605,0.8311948509594571,0.8271604938271605,0.827344083091447,vt,Logistic Regression,Grid,0.1084709167480468,grid_search_results.csv
0.7802469135802469,0.7830476653977146,0.7802469135802469,0.7809325985143423,vt,Gradient Boosting,Grid,14.018681526184082,grid_search_results.csv
0.7382716049382716,0.7485130991013343,0.7382716049382716,0.7359767037556959,vt,KNN,Grid,0.1072850227355957,grid_search_results.csv
0.7950617283950617,0.7993778627460326,0.7950617283950617,0.7936358424565748,vt,Random Forest,Grid,1.9646921157836916,grid_search_results.csv
0.7209876543209877,0.727261960412594,0.7209876543209877,0.720410696533628,vt,Decision Tree,Grid,0.048501968383789,grid_search_results.csv
0.8024691358024691,0.8057832392770389,0.8024691358024691,0.8024605448632344,vt,SVM,Grid,0.7545270919799805,grid_search_results.csv
0.8271604938271605,0.8311948509594571,0.8271604938271605,0.827344083091447,vt,Logistic Regression,Bayes,15.29722547531128,bayes_search_results.csv
0.8024691358024691,0.8047745979946563,0.8024691358024691,0.8023937847463177,vt,Gradient Boosting,Bayes,141.1214108467102,bayes_search_results.csv
0.745679012345679,0.7642718758256991,0.745679012345679,0.7376564825687631,vt,KNN,Bayes,10.78189206123352,bayes_search_results.csv
0.782716049382716,0.7882753143081264,0.782716049382716,0.7815920019969039,vt,Random Forest,Bayes,34.28335189819336,bayes_search_results.csv
0.7111111111111111,0.714863198880814,0.7111111111111111,0.7108946077386158,vt,Decision Tree,Bayes,12.513022661209106,bayes_search_results.csv
0.8074074074074075,0.8110078260133596,0.8074074074074075,0.8069850370744478,vt,SVM,Bayes,20.65300941467285,bayes_search_results.csv
